# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
WriteAction.executionsCount,1761285179533000000,1761285185714000000,1
ReadAction.executionsCount,1761285179533000000,1761285185714000000,48778
FlushQueue.waitingTime90PNs,1761285179533000000,1761285185714000000,2499805183
FlushQueue.waitingTimeAvgNs,1761285179533000000,1761285185714000000,6.094211121852713E8
FlushQueue.executionTimeAvgNs,1761285179533000000,1761285185714000000,46633.296899224806
NonBlockingReadAction.failedExecutionsCount,1761285179533000000,1761285185714000000,0
FlushQueue.executionTime90PNs,1761285179533000000,1761285185714000000,39423
AWTEventQueue.dispatchTime90PNs,1761285179533000000,1761285185714000000,24063
NonBlockingReadAction.finalizedExecutionsCount,1761285179533000000,1761285185714000000,14
AWTEventQueue.dispatchTimeMaxNs,1761285179533000000,1761285185714000000,5167382527
FlushQueue.executionTimeMaxNs,1761285179533000000,1761285185714000000,15859711
NonBlockingReadAction.failedExecutionTimeUs,1761285179533000000,1761285185714000000,0
NonBlockingReadAction.finalizedExecutionTimeUs,1761285179533000000,1761285185714000000,32366
AWTEventQueue.eventsDispatched,1761285179533000000,1761285185714000000,1824
FlushQueue.queueSizeAvg,1761285179533000000,1761285185714000000,126.63953488372093
AWTEventQueue.dispatchTimeTotalNS,1761285179533000000,1761285185714000000,5260273882
FlushQueue.queueSize90P,1761285179533000000,1761285185714000000,387
FlushQueue.queueSizeMax,1761285179533000000,1761285185714000000,483
FlushQueue.waitingTimeMaxNs,1761285179533000000,1761285185714000000,3909091327
FlushQueue.tasksExecuted,1761285179533000000,1761285185714000000,1290
AWTEventQueue.dispatchTimeAvgNs,1761285179533000000,1761285185714000000,2884233.9122807016
FilePageCacheLockFree.totalBytesRequested,1761285179533000000,1761285185714000000,32768
FilePageCacheLockFree.totalHeapBytesAllocated,1761285179533000000,1761285185714000000,0
FilePageCacheLockFree.totalPagesWriteMs,1761285179533000000,1761285185714000000,0
FilePageCacheLockFree.nativeBytesInUse,1761285179533000000,1761285185714000000,0
FilePageCacheLockFree.totalPagesWritten,1761285179533000000,1761285185714000000,0
FilePageCacheLockFree.totalBytesRead,1761285179533000000,1761285185714000000,16
FilePageCacheLockFree.heapBytesInUse,1761285179533000000,1761285185714000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1761285179533000000,1761285185714000000,41959424
FilePageCache.maxCacheSizeInBytes,1761285179533000000,1761285185714000000,199229440
FilePageCacheLockFree.totalNativeBytesAllocated,1761285179533000000,1761285185714000000,16384
DirectByteBufferAllocator.hits,1761285179533000000,1761285185714000000,3
MappedFileStorage.totalBytesMapped,1761285179533000000,1761285185714000000,0
FilePageCache.disposedBuffers,1761285179533000000,1761285185714000000,193
DirectByteBufferAllocator.misses,1761285179533000000,1761285185714000000,192
StorageLockContext.competingThreads.avg,1761285179533000000,1761285185714000000,0.3333333333333333
StorageLockContext.competingThreads.90P,1761285179533000000,1761285185714000000,0
FilePageCache.pageFastCacheHits,1761285179533000000,1761285185714000000,3819
FilePageCacheLockFree.totalPagesRequested,1761285179533000000,1761285185714000000,4
FilePageCacheLockFree.totalPagesHandedOver,1761285179533000000,1761285185714000000,0
FilePageCacheLockFree.totalPagesReclaimed,1761285179533000000,1761285185714000000,2
DirectByteBufferAllocator.reclaimed,1761285179533000000,1761285185714000000,45
MappedFileStorage.storages,1761285179533000000,1761285185714000000,0
FilePageCache.pageHits,1761285179533000000,1761285185714000000,0
FilePageCacheLockFree.totalHeapBytesReclaimed,1761285179533000000,1761285185714000000,0
FilePageCacheLockFree.totalClosedStoragesReclaimed,1761285179533000000,1761285185714000000,2
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1761285179533000000,1761285185714000000,41959424
FilePageCacheLockFree.housekeeperTurnsDone,1761285179533000000,1761285185714000000,15
FilePageCache.totalPageDisposalsUs,1761285179533000000,1761285185714000000,884
FilePageCache.pageLoadsAboveSizeThreshold,1761285179533000000,1761285185714000000,0
FilePageCacheLockFree.totalPagesReadMs,1761285179533000000,1761285185714000000,1
FileChannelInterruptsRetryer.totalRetriedAttempts,1761285179533000000,1761285185714000000,0
FilePageCache.pageLoads,1761285179533000000,1761285185714000000,193
StorageLockContext.competingThreads.max,1761285179533000000,1761285185714000000,4
MappedFileStorage.totalPagesMapped,1761285179533000000,1761285185714000000,0
FilePageCache.capacityInBytes,1761285179533000000,1761285185714000000,503316478
FilePageCache.totalPageLoadsUs,1761285179533000000,1761285185714000000,76192
FilePageCacheLockFree.housekeeperTimeSpentMs,1761285179533000000,1761285185714000000,16
FilePageCacheLockFree.housekeeperTurnsSkipped,1761285179533000000,1761285185714000000,4723
FilePageCacheLockFree.totalBytesWritten,1761285179533000000,1761285185714000000,0
FilePageCacheLockFree.totalPagesRequestsMs,1761285179533000000,1761285185714000000,2
DirectByteBufferAllocator.disposed,1761285179533000000,1761285185714000000,150
FilePageCache.maxRegisteredFiles,1761285179533000000,1761285185714000000,529
FilePageCacheLockFree.totalNativeBytesReclaimed,1761285179533000000,1761285185714000000,16384
FilePageCache.uncachedFileAccess,1761285179533000000,1761285185714000000,109
FilePageCacheLockFree.totalPagesAllocated,1761285179533000000,1761285185714000000,2
FilePageCacheLockFree.totalPageAllocationsWaited,1761285179533000000,1761285185714000000,0
MappedFileStorage.totalTimeSpentOnMappingUs,1761285179533000000,1761285185714000000,443
workspaceModel.mutableEntityStorage.referrers.ms,1761285179533000000,1761285185714000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1761285179533000000,1761285185714000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1761285179533000000,1761285185714000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1761285179533000000,1761285185714000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1761285179533000000,1761285185714000000,2
workspaceModel.moduleManagerBridge.newModule.ms,1761285179533000000,1761285185714000000,0
workspaceModel.load.cache.from.file.ms,1761285179533000000,1761285185714000000,0
workspaceModel.mutableEntityStorage.add.diff.ms,1761285179533000000,1761285185714000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1761285179533000000,1761285185714000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1761285179533000000,1761285185714000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1761285179533000000,1761285185714000000,0
workspaceModel.mutableEntityStorage.entities.ms,1761285179533000000,1761285185714000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1761285179533000000,1761285185714000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1761285179533000000,1761285185714000000,0
workspaceModel.save.cache.to.file.ms,1761285179533000000,1761285185714000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1761285179533000000,1761285185714000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1761285179533000000,1761285185714000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1761285179533000000,1761285185714000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1761285179533000000,1761285185714000000,0
workspaceModel.load.cache.metadata.from.file.ms,1761285179533000000,1761285185714000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1761285179533000000,1761285185714000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1761285179533000000,1761285185714000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1761285179533000000,1761285185714000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1761285179533000000,1761285185714000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1761285179533000000,1761285185714000000,0
